1,4. Completa Parte 2 y 3,http://www.ggvinteractive.com/ggv/sample-course/slidestack/693/,2,279,Oraciones y Ortografía,Sintaxis de Oraciones,,,,,,,,,,,,,,
2,4. Completa Parte 1,http://www.ggvinteractive.com/ggv/sample-course/slidestack/693/,2,279,Oraciones y Ortografía,Sintaxis de Oraciones,,,,,,,,,,,,,,
3,55. Regla 1 (Lista),http://www.ggvinteractive.com/ggv/sample-course/slidestack/860/,8,286,Comas,Mecánica de Oraciones,,,,,,,,,,,,,,
4,61. Fragmentos,http://www.ggvinteractive.com/ggv/sample-course/slidestack/695/,8,286,Comas,Mecánica de Oraciones,,,,,,,,,,,,,,
5,4. Completa Parte 2 y 3,http://www.ggvinteractive.com/ggv/sample-course/slidestack/693/,2,279,Oraciones y Ortografía,Sintaxis de Oraciones,,,,,,,,,,,,,,
6,65. Estructura Paralela,http://www.ggvinteractive.com/ggv/sample-course/slidestack/864/,9,287,Estructura Paralela,Mecánica de Oraciones,,,,,,,,,,,,,,
7,88. Práctica - Nivel 1,http://www.ggvinteractive.com/ggv/sample-course/worksheet/161/1/,13,18,"Vocabulario, Comprensión","Vocabulario, Comprensión",,,,,,,,,,,,,,
8,89. Práctica - Nivel 2,http://www.ggvinteractive.com/ggv/sample-course/worksheet/61/1/,13,18,"Vocabulario, Comprensión","Vocabulario, Comprensión",,,,,,,,,,,,,,
9,90. Práctica - Nivel 3,http://www.ggvinteractive.com/ggv/sample-course/worksheet/163/1/,13,18,"Vocabulario, Comprensión","Vocabulario, Comprensión",,,,,,,,,,,,,,
10,88. Práctica - Nivel 1,http://www.ggvinteractive.com/ggv/sample-course/worksheet/161/1/,13,18,"Vocabulario, Comprensión","Vocabulario, Comprensión",,,,,,,,,,,,,,
11,89. Práctica - Nivel 2,http://www.ggvinteractive.com/ggv/sample-course/worksheet/61/1/,13,18,"Vocabulario, Comprensión","Vocabulario, Comprensión",,,,,,,,,,,,,,
12,4. Completa Parte 2 y 3,http://www.ggvinteractive.com/ggv/sample-course/slidestack/693/,2,279,Oraciones y Ortografía,Sintaxis de Oraciones,,,,,,,,,,,,,,
13,4. Completa Parte 2 y 3,http://www.ggvinteractive.com/ggv/sample-course/slidestack/693/,2,279,Oraciones y Ortografía,Sintaxis de Oraciones,,,,,,,,,,,,,,
14,65. Estructura Paralela,http://www.ggvinteractive.com/ggv/sample-course/slidestack/864/,9,287,Estructura Paralela,Sintaxis de Oraciones,,,,,,,,,,,,,,
15,89. Práctica - Nivel 2,http://www.ggvinteractive.com/ggv/sample-course/worksheet/61/1/,13,18,"Vocabulario, Comprensión","Vocabulario, Comprensión",,,,,,,,,,,,,,
16,90. Práctica - Nivel 3,http://www.ggvinteractive.com/ggv/sample-course/worksheet/163/1/,13,18,"Vocabulario, Comprensión","Vocabulario, Comprensión",,,,,,,,,,,,,,
17,4. Completa Parte 2 y 3,http://www.ggvinteractive.com/ggv/sample-course/slidestack/693/,2,279,Oraciones y Ortografía,Sintaxis de Oraciones,,,,,,,,,,,,,,
18,88. Práctica - Nivel 1,http://www.ggvinteractive.com/ggv/sample-course/worksheet/161/1/,13,18,"Vocabulario, Comprensión","Vocabulario, Comprensión",,,,,,,,,,,,,,
19,26. Regla 3,http://www.ggvinteractive.com/ggv/sample-course/slidestack/702/,4,282,Verbos,Mecánica de Oraciones,,,,,,,,,,,,,,
20,89. Práctica - Nivel 2,http://www.ggvinteractive.com/ggv/sample-course/worksheet/61/1/,13,18,"Vocabulario, Comprensión","Vocabulario, Comprensión",,,,,,,,,,,,,,
21,4. Completa Parte 2 y 3,http://www.ggvinteractive.com/ggv/sample-course/slidestack/693/,2,279,Oraciones y Ortografía,Sintaxis de Oraciones,,,,,,,,,,,,,,
22,90. Práctica - Nivel 3,http://www.ggvinteractive.com/ggv/sample-course/worksheet/163/1/,13,18,"Vocabulario, Comprensión","Vocabulario, Comprensión",,,,,,,,,,,,,,
23,89. Práctica - Nivel 2,http://www.ggvinteractive.com/ggv/sample-course/worksheet/61/1/,13,18,"Vocabulario, Comprensión","Vocabulario, Comprensión",,,,,,,,,,,,,,
24,4. Completa Parte 2 y 3,http://www.ggvinteractive.com/ggv/sample-course/slidestack/693/,2,279,Oraciones y Ortografía,Sintaxis de Oraciones,,,,,,,,,,,,,,
25,74. El Derecho de Una Mujer A Eligir,http://www.ggvinteractive.com/ggv/sample-course/slidestack/20/,12,290,Respuesta Extendidas,Organización,,,,,,,,,,,,,,