rank,question,type,correct,option 1,option 2,option 3,option 4
1,"Indicate the tens place.  15,768",radio,2,5,6,7,8
2,"Indicate the one thousand place. 4,526",radio,1,4,5,2,6
3,"Indicate the ones place. 18,543",radio,4,1,8,4,3
4,"Indicate the one million place. 2,015,743",radio,1,2,5,7,3
5,"Indicate the ten thousand place. 425,984",radio,1,2,9,8,4
6,"Indicate the hundred thousand place. 8,321,094",radio,1,3,0,9,4
7,"Indicate the ones place. 87,009",radio,4,8,7,0,9
8,"Indicate the tens place. 321,600,768",radio,3,2,0,6,8
9,"Indicate the ten million place. 328,047,015",radio,2,3,2,4,1
10,"Indicate the hundreds place. 435,012,768",radio,3,4,0,7,6
11,"Indicate the hundreds place. 3,892",radio,2,3,8,9,2
12,"Indicate the ten thousand place. 579,683",radio,1,7,9,8,3
13,"Indicate the hundred million place.321,980,543",radio,1,3,9,5,4
14,"Indicate the one thousand place. 968,327",radio,2,6,8,2,7
15,"Indicate the ten million place. 372,014,968",radio,1,7,1,9,6
16,"Indicate the hundreds place. 4,768",radio,2,4,7,6,8
17,"Indicate the tens place. 12,590",radio,3,2,5,9,0
18,"Indicate the ones place. 42,368",radio,4,4,3,6,8
19,"Indicate the one thousand place. 45,670",radio,2,4,5,6,7
20,"Indicate the ten thousand place. 583,647",radio,1,8,6,4,7
21,Write six.,text,6,,,,
22,Write sixty.,text,60,,,,
23,Write six hundred.,text,600,,,,
24,Write six thousand.,text,"6,000",,,,
25,Write six million.,text,"6,000,000",,,,
26,Write one thousand four hundred twenty.,text,"1,420",,,,
27,Write seven million twenty three thousand five hundred two.,text,"7,023,502",,,,
28,Write three hundred four thousand sixty five.,text,"304,065",,,,
29,Write twenty five million two hundred nine thousand eight hundred five.,text,"25,209,805",,,,
30,Write sixty six thousand seven.,text,"66,007",,,,
31,Write nine hundred million.,text,"900,000,000",,,,
32,Write eighty eight million thirty thousand three hundred forty.,text,"88,030,340",,,,
33,Write seven hundred twenty three thousand nineteen.,text,"723,019",,,,
34,Write nine million four hundred five thousand eight hundred thirty three.,text,"9,405,833",,,,
35,Write four thousand one hundred sixty one.,text,"4,161",,,,
36,Write one million.,text,"1,000,000",,,,
37,Write one hundred thirty two million.,text,"132,000,000",,,,
38,Write forty four million forty four thousand forty four.,text,"44,044,044",,,,
39,Write seven hundred twenty one thousand sixteen.,text,"721,016",,,,
40,Write one million nineteen thousand four hundred twenty.,text,"1,019,420",,,,
41,Write five thousand three.,text,"5,003",,,,
42,Write fourteen million one hundred six thousand four hundred sixty eight.,text,"14,106,468",,,,